127.0.0.1 - - [06/May/2025:14:19:53 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/ HTTP/1.1" 200 44209
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/Images/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/index.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/assests/cat.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/assests/Dogs.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/assests/FishNav.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/assests/BirdsNav.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/Images/Dogmain.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/Images/Fish.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/Images/Bird.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/Images/cat2.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/img/dogs.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/img/cat.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/img/cat2.jfif.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/img/Dogs1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/img/birds-cage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/img/fish.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/img/Aboutus.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/Images/Logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/Images1/banner.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /PetHubProject/Images1/CatVideo.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:19:54 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:02 +0530] "GET /PetHubProject/Registration.jsp HTTP/1.1" 200 9895
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:02 +0530] "GET /PetHubProject/Images1/CatBackground.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:06 +0530] "GET /PetHubProject/Login.jsp HTTP/1.1" 200 8065
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:06 +0530] "GET /PetHubProject/Images1/loginimage.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:09 +0530] "POST /PetHubProject/register HTTP/1.1" 200 44884
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:10 +0530] "GET /PetHubProject/index.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:23 +0530] "GET /PetHubProject/Cat.jsp?animal=catfood HTTP/1.1" 200 18841
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:23 +0530] "GET /PetHubProject/Images1/doglogo.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:23 +0530] "GET /PetHubProject/Images1/birdlogo.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:23 +0530] "GET /PetHubProject/Images/catfood3.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:23 +0530] "GET /PetHubProject/Images/catfood4.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:23 +0530] "GET /PetHubProject/Images/catfood5.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:23 +0530] "GET /PetHubProject/Images/catfood1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:23 +0530] "GET /PetHubProject/Images1/fishlogo.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:23 +0530] "GET /PetHubProject/Images/catfood2.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:28 +0530] "POST /PetHubProject/addtocart HTTP/1.1" 200 6949
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:31 +0530] "GET /PetHubProject/booking.jsp HTTP/1.1" 200 17139
0:0:0:0:0:0:0:1 - - [06/May/2025:14:20:31 +0530] "GET /PetHubProject/path/to/your/styles.css HTTP/1.1" 404 805
